,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
168,1415,SE Division & 162nd Ave,0,93.0,1,0,1380,95,14.526315789473683,Bus Station,45.5042261,-122.5106255
169,1415,SE Division & 162nd Ave,1,62.5,1,0,1380,88,15.681818181818182,Bus Station,45.50418,-122.5172851
170,1418,SE Division & 168th Ave,0,30.0,1,0,1380,95,14.526315789473683,Bus Station,45.50418,-122.5172851
171,1418,SE Division & 168th Ave,1,22.5,1,0,1380,88,15.681818181818182,Bus Station,45.5041097,-122.524752
172,1422,SE Division & 174th Ave,0,65.0,1,0,1380,95,14.526315789473683,Bus Station,45.5041097,-122.524752
173,1422,SE Division & 174th Ave,1,46.5,1,0,1380,88,15.681818181818182,Bus Station,45.5040603,-122.529978
174,1333,NW Division & Eastwood Ave,0,15.0,1,0,1380,95,14.526315789473683,Bus Station,45.5040603,-122.529978
175,1333,NW Division & Eastwood Ave,1,13.5,1,0,1380,88,15.681818181818182,Bus Station,45.5041007,-122.5376737
176,9426,NW Division & Angeline Ave,0,11.0,1,0,1380,95,14.526315789473683,Bus Station,45.5041007,-122.5376737
177,9426,NW Division & Angeline Ave,1,9.5,1,0,1380,88,15.681818181818182,Bus Station,45.50422295,-122.54431335
178,14229,NW Division & Overlook Ave,0,13.0,1,0,1380,95,14.526315789473683,Bus Station,45.50422295,-122.54431335
179,14229,NW Division & Overlook Ave,1,11.0,1,0,1380,88,15.681818181818182,Bus Station,45.5043264,-122.5595827
180,1331,NW Division & Eastman Pkwy,0,18.0,1,0,1380,95,14.526315789473683,Bus Station,45.5043264,-122.5595827
181,1331,NW Division & Eastman Pkwy,1,13.0,1,0,1380,88,15.681818181818182,Bus Station,45.5046236,-122.57570736666666
182,14232,Cleveland Ave Park & Ride,0,125.0,2,0,1380,96,14.375,Bus Station,45.5046236,-122.57570736666666
183,14232,Cleveland Ave Park & Ride,1,97.0,1,240,1380,88,12.954545454545457,Bus Station,45.504838500000005,-122.5786924
184,1316,NW Division & Civic Dr,0,81.0,1,0,1380,95,14.526315789473683,Bus Station,45.504838500000005,-122.5786924
